1	Never Deployed	1	1	1183479701	1	1190754164
2	Waiting for Initial Deployment	1	1	1183479712	1	1190754182
3	Deployed and Modified	1	1	1183479736	1	1190754198
4	Deployed	1	1	1183479745	1	1190754212
5	Canceled	1	1	1190754226	0	0
6	OnHold	1	1	1190754238	0	0
7	Job Queued Remotely	1	1	1190754254	0	0
8	Waiting for Redeployment	1	1	1190754264	0	0
9	Waiting	1	1	1190754275	0	0
10	Waiting for Cancel	1	1	1190754286	0	0
11	Waiting for Hold	1	1	1190754298	0	0
